asset_readiness,band,capture_safety,complexity_penalty,effort,id,implementability,metric_upside,pillar,placement,regression_risk,risk,score,stage_targets,status,title,visual_roi
1.0,A,1.0,0.0,S,MAT-018,1.0,1.0,materials,behind_wall,0.1,low,93.5,Harbor,candidate,Behind-wall painted metal chips,0.8
1.0,A,1.0,0.0,S,AIR-003,1.0,1.0,aircraft,behind_wall,0.1,low,93.5,YakBeauty,candidate,Fuselage access-panel offset,0.8
1.0,A,1.0,0.0,S,AIR-018,1.0,1.0,aircraft,behind_wall,0.1,low,93.5,Cockpit,candidate,Gunner station trim notch,0.8
1.0,A,1.0,0.0,S,AIR-020,1.0,1.0,aircraft,behind_wall,0.1,low,93.5,Cockpit,candidate,Cockpit anti-glare brow edge,0.8
1.0,A,0.95,0.0,S,VFX-001,1.0,1.0,vfx,additive_emissive,0.1,low,92.5,Combat|ADS,candidate,Compact twin-lobed muzzle flash,0.8
1.0,A,0.95,0.0,S,VFX-006,1.0,1.0,vfx,additive_emissive,0.1,low,92.5,PropNose|Combat,candidate,Single impact ember core,0.8
1.0,A,0.95,0.0,S,VFX-016,1.0,1.0,vfx,additive_emissive,0.1,low,92.5,Ocean|Harbor,candidate,Localized ocean spray fan,0.8
1.0,A,1.0,0.0,S,MAT-013,1.0,0.7,materials,behind_wall,0.1,low,90.5,City,candidate,Behind-wall rust tile,0.8
1.0,A,0.95,0.0,S,CO-001,1.0,1.0,city_ocean,additive_emissive,0.1,low,90.0,City|Wide,candidate,Warm brick bay bands on facade tower,0.8
1.0,A,0.95,0.0,S,CO-002,1.0,1.0,city_ocean,additive_emissive,0.1,low,90.0,City|PropHub,candidate,Bright plaster window-strip accents,0.8
1.0,A,0.95,0.0,S,CO-011,1.0,1.0,city_ocean,additive_emissive,0.1,low,90.0,Ocean|Wide,candidate,Nearshore foam ribbon,0.8
1.0,A,0.95,0.0,S,CO-020,1.0,1.0,city_ocean,additive_emissive,0.1,low,90.0,Harbor|Ocean,candidate,Foam fleck cluster at seawall outlet,0.8
1.0,A,1.0,0.0,S,MAT-014,1.0,1.0,materials,behind_wall,0.1,low,88.5,Harbor,candidate,Behind-wall salt-rust streak,0.55
1.0,A,1.0,0.0,S,AIR-001,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,YakBeauty,candidate,Yak fuselage panel seam accents,0.55
1.0,A,1.0,0.0,S,AIR-002,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,YakBeauty,candidate,Yak wing-root hatch outline,0.55
1.0,A,1.0,0.0,S,AIR-007,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit,candidate,Cockpit tub rim highlight,0.55
1.0,A,1.0,0.0,S,AIR-008,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit|ADS,candidate,Instrument cluster bezel breakup,0.55
1.0,A,1.0,0.0,S,AIR-010,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit,candidate,Throttle quadrant plane break,0.55
1.0,A,1.0,0.0,S,AIR-011,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit,candidate,Glove cuff seam,0.55
1.0,A,1.0,0.0,S,AIR-013,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit,candidate,Glove-arm fold accent,0.55
1.0,A,1.0,0.0,S,AIR-014,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit|YakBeauty,candidate,Canopy seal cord cue,0.55
1.0,A,1.0,0.0,S,AIR-017,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit,candidate,Gunner station bulkhead ribs,0.55
1.0,A,0.95,0.0,S,MAT-007,1.0,1.0,materials,additive_emissive,0.1,low,87.5,PropHub|Prop,candidate,Prop hub center contrast,0.55
1.0,A,0.95,0.0,S,AIR-004,1.0,1.0,aircraft,additive_emissive,0.1,low,87.5,PropHub|PropNose,candidate,Bright prop-hub shell,0.55
1.0,A,0.95,0.0,S,AIR-005,1.0,1.0,aircraft,additive_emissive,0.1,low,87.5,Prop|PropNose,candidate,Prop-blade leading-edge shells,0.55
1.0,A,0.95,0.0,S,AIR-009,1.0,1.0,aircraft,additive_emissive,0.1,low,87.5,Cockpit|ADS,candidate,Instrument needle pinpoints,0.55
1.0,A,0.95,0.0,S,AIR-015,1.0,1.0,aircraft,additive_emissive,0.1,low,87.5,Cockpit|YakBeauty,candidate,Canopy frame corner tabs,0.55
1.0,A,0.95,0.0,S,AIR-016,1.0,1.0,aircraft,additive_emissive,0.1,low,87.5,Cockpit,candidate,Canopy latch highlight,0.55
1.0,A,0.95,0.0,S,VFX-002,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Combat|PropNose,candidate,Muzzle flash pulse ring,0.55
1.0,A,0.95,0.0,S,VFX-005,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Combat|ADS,candidate,Directional hit spark fan,0.55
1.0,A,0.95,0.0,S,VFX-007,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Combat|City,candidate,Drone explosion flash core,0.55
1.0,A,0.95,0.0,S,VFX-008,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Combat,candidate,Drone explosion ember scatter,0.55
1.0,A,0.95,0.0,S,VFX-010,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,City|Wide,candidate,Flak spark pinpoints,0.55
1.0,A,0.95,0.0,S,VFX-011,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,YakBeauty|PropHub,candidate,Prop wash crescent,0.55
1.0,A,0.95,0.0,S,VFX-012,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,PropHub|YakBeauty,candidate,Prop wash filament streaks,0.55
1.0,A,0.95,0.0,S,VFX-013,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Combat|ADS,candidate,Forward tracer pair,0.55
1.0,A,0.95,0.0,S,VFX-014,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,ADS|Combat,candidate,Single tracer tip glow,0.55
1.0,A,0.95,0.0,S,VFX-015,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Combat|Wide,candidate,Short missile trail ribbon,0.55
1.0,A,0.95,0.0,S,VFX-017,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Ocean|City,candidate,Water splash crown,0.55
1.0,A,0.95,0.0,S,VFX-018,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Harbor,candidate,Harbor splash droplets,0.55
1.0,A,0.95,0.0,S,VFX-019,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Ocean|Wide,candidate,Ocean spray glint points,0.55
1.0,A,0.95,0.0,S,VFX-020,1.0,1.0,vfx,additive_emissive,0.1,low,87.5,Ocean|Combat,candidate,Layered tracer-to-splash cue,0.55
1.0,A,1.0,0.0,S,CO-003,1.0,1.0,city_ocean,behind_wall,0.1,low,86.0,City,candidate,Corrugated roof cap behind wall,0.55
1.0,A,1.0,0.0,S,CO-006,1.0,1.0,city_ocean,behind_wall,0.1,low,86.0,Harbor,candidate,Muted bright container color blocks,0.55
1.0,A,1.0,0.0,S,CO-010,1.0,1.0,city_ocean,behind_wall,0.1,low,86.0,Harbor,candidate,Seawall relief-panel accents,0.55
1.0,A,1.0,0.0,S,CO-016,1.0,1.0,city_ocean,behind_wall,0.1,low,86.0,City|Ocean,candidate,Coast-block bright plaster face,0.55
1.0,A,1.0,0.0,S,CO-019,1.0,1.0,city_ocean,behind_wall,0.1,low,86.0,Harbor|Wide,candidate,Ship deckhouse bright trim,0.55
1.0,A,1.0,0.0,S,MAT-015,1.0,0.7,materials,behind_wall,0.1,low,85.5,City|Harbor,candidate,Behind-wall dirt tile variation,0.55
1.0,A,0.95,0.0,S,CO-004,1.0,1.0,city_ocean,additive_emissive,0.1,low,85.0,Harbor|Wide,candidate,Craneboom diagonal light plane,0.55
1.0,A,0.95,0.0,S,CO-005,1.0,1.0,city_ocean,additive_emissive,0.1,low,85.0,Harbor,candidate,Crane gantry joint markers,0.55
1.0,A,0.95,0.0,S,CO-007,1.0,1.0,city_ocean,additive_emissive,0.1,low,85.0,Harbor|Ocean,candidate,Freighter bow warm rim,0.55
1.0,A,0.95,0.0,S,CO-009,1.0,1.0,city_ocean,additive_emissive,0.1,low,85.0,Harbor|Ocean,candidate,Seawall cap highlight,0.55
1.0,A,0.95,0.0,S,CO-012,1.0,1.0,city_ocean,additive_emissive,0.1,low,85.0,Ocean,candidate,Three breaker foam patches,0.55
1.0,A,0.95,0.0,S,CO-014,1.0,1.0,city_ocean,additive_emissive,0.1,low,85.0,Ocean,candidate,Wet-sand micro-rill accents,0.55
1.0,A,0.95,0.0,S,CO-015,1.0,1.0,city_ocean,additive_emissive,0.1,low,85.0,Ocean|Wide,candidate,Submarine sail highlight,0.55
1.0,A,0.95,0.0,S,CO-018,1.0,1.0,city_ocean,additive_emissive,0.1,low,85.0,Harbor,candidate,Crane counterweight safety stripe,0.55
