asset_readiness,band,capture_safety,complexity_penalty,effort,id,implementability,metric_upside,pillar,placement,regression_risk,risk,score,stage_targets,status,title,visual_roi
1.0,A,1.0,0.0,S,MAT-036,1.0,1.0,materials,behind_wall,0.1,low,93.5,Combat,candidate,Behind-wall vertical oxidation variation,0.8
1.0,A,1.0,0.0,S,MAT-038,1.0,1.0,materials,behind_wall,0.1,low,93.5,Combat,candidate,Behind-wall moisture roughness patch,0.8
1.0,A,1.0,0.0,S,MAT-040,1.0,1.0,materials,behind_wall,0.1,low,93.5,Combat|Harbor,candidate,Behind-wall salt-streak roughness,0.8
1.0,A,1.0,0.0,S,AIR-024,1.0,1.0,aircraft,behind_wall,0.1,low,93.5,YakBeauty,candidate,Cowling inspection-plate gap,0.8
1.0,A,0.95,0.0,S,MAT-025,1.0,1.0,materials,additive_emissive,0.1,low,92.5,YakBeauty,candidate,Airframe edge polish strip,0.8
1.0,A,0.95,0.0,S,VFX-003,1.0,1.0,vfx,additive_emissive,0.1,low,92.5,Cockpit|ADS,candidate,Muzzle flash twin filament streaks,0.8
1.0,A,0.95,0.0,S,VFX-021,1.0,1.0,vfx,additive_emissive,0.1,low,92.5,Ocean|Harbor,candidate,Ocean spray pinpoint droplets,0.8
1.0,A,1.0,0.0,S,CO-004,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,City,candidate,Bright Brick Header Course,0.8
1.0,A,1.0,0.0,S,CO-007,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,City,candidate,Balcony Rail Rhythm,0.8
1.0,A,1.0,0.0,S,CO-019,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,Ocean|Wide,candidate,Wet Sand Reflectance Patches,0.8
1.0,A,1.0,0.0,S,CO-022,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,Ocean|Harbor,candidate,Submarine Hull Panel Highlight,0.8
1.0,A,1.0,0.0,S,CO-023,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,City|Wide,candidate,Coast Block Utility Boxes,0.8
1.0,A,1.0,0.0,S,WPN-017,1.0,1.0,weapon_ads,behind_wall,0.1,low,91.0,ADS|Cockpit,candidate,Cheek-weld glove edge,0.8
1.0,A,0.95,0.0,S,CO-008,1.0,1.0,city_ocean,additive_emissive,0.1,low,90.0,City|Wide,candidate,Window Lintel Glow,0.8
1.0,A,0.95,0.0,S,CO-018,1.0,1.0,city_ocean,additive_emissive,0.1,low,90.0,Ocean,candidate,Foam Crest Dabs,0.8
1.0,A,1.0,0.0,S,MAT-039,1.0,1.0,materials,behind_wall,0.1,low,88.5,Harbor,candidate,Behind-wall drainage grime accumulation,0.55
1.0,A,1.0,0.0,S,AIR-021,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,YakBeauty,candidate,Yak wing-root panel seam,0.55
1.0,A,1.0,0.0,S,AIR-023,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,YakBeauty|Cockpit,candidate,Canopy latch micro-tabs,0.55
1.0,A,1.0,0.0,S,AIR-025,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Prop|PropHub,candidate,Prop hub retainer washer,0.55
