asset_readiness,band,capture_safety,complexity_penalty,effort,id,implementability,metric_upside,pillar,placement,regression_risk,risk,score,stage_targets,status,title,visual_roi
1.0,A,1.0,0.0,S,MAT-015,1.0,1.0,materials,behind_wall,0.1,low,93.5,City,candidate,Behind-wall oxidized seam,0.8
1.0,A,1.0,0.0,S,MAT-016,1.0,1.0,materials,behind_wall,0.1,low,93.5,Harbor,candidate,Behind-wall dirt runoff stripe,0.8
1.0,A,1.0,0.0,S,MAT-020,1.0,1.0,materials,behind_wall,0.1,low,93.5,City|Harbor,candidate,Behind-wall layered dirt patch,0.8
1.0,A,1.0,0.0,S,AIR-002,1.0,1.0,aircraft,behind_wall,0.1,low,93.5,YakBeauty|Prop,candidate,Fuselage inspection hatch rim,0.8
1.0,A,1.0,0.0,S,AIR-004,1.0,1.0,aircraft,behind_wall,0.1,low,93.5,YakBeauty|PropNose,candidate,Cowling louver break pair,0.8
1.0,A,1.0,0.0,S,AIR-005,1.0,1.0,aircraft,behind_wall,0.1,low,93.5,YakBeauty|PropNose,candidate,Landing-gear fairing notch,0.8
1.0,A,0.95,0.0,S,VFX-006,1.0,1.0,vfx,additive_emissive,0.1,low,92.5,Combat|ADS,candidate,Ricochet spark streak,0.8
1.0,A,0.95,0.0,S,VFX-016,1.0,1.0,vfx,additive_emissive,0.1,low,92.5,Ocean|Harbor,candidate,Water splash crown tips,0.8
1.0,A,0.95,0.0,S,VFX-020,1.0,1.0,vfx,additive_emissive,0.1,low,92.5,City|PropHub,candidate,Localized flak impact glint,0.8
1.0,A,1.0,0.0,S,CO-003,1.0,1.0,city_ocean,behind_wall,0.1,low,91.0,City,candidate,Corrugated facade rib cadence,0.8
1.0,A,1.0,0.0,S,MAT-014,1.0,0.7,materials,behind_wall,0.1,low,90.5,Harbor|Ocean,candidate,Behind-wall damp dirt tile,0.8
1.0,A,0.95,0.0,S,CO-001,1.0,1.0,city_ocean,additive_emissive,0.1,low,90.0,City|Wide,candidate,Bright facade window rhythm,0.8
1.0,A,0.95,0.0,S,CO-015,1.0,1.0,city_ocean,additive_emissive,0.1,low,90.0,Ocean|Wide,candidate,Foam lace shoreline edge,0.8
1.0,A,0.95,0.0,S,AIR-019,1.0,0.7,aircraft,additive_emissive,0.1,low,89.5,PropHub|PropNose,candidate,Spinner center-cap glint,0.8
1.0,A,1.0,0.0,S,MAT-013,1.0,1.0,materials,behind_wall,0.1,low,88.5,City|Harbor,candidate,Behind-wall rust fleck tile,0.55
1.0,A,1.0,0.0,S,AIR-001,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,YakBeauty|PropNose,candidate,Yak wing-root seam ladder,0.55
1.0,A,1.0,0.0,S,AIR-003,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,YakBeauty,candidate,Tailplane hinge tabs,0.55
1.0,A,1.0,0.0,S,AIR-008,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit,candidate,Cockpit tub sidewall rib pair,0.55
1.0,A,1.0,0.0,S,AIR-009,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit|ADS,candidate,Instrument cluster separator tabs,0.55
1.0,A,1.0,0.0,S,AIR-010,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit|ADS,candidate,Glare-shield broken lip,0.55
1.0,A,1.0,0.0,S,AIR-011,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit,candidate,Switch cap height variation,0.55
1.0,A,1.0,0.0,S,AIR-013,1.0,1.0,aircraft,behind_wall,0.1,low,88.5,Cockpit,candidate,Glove cuff fold pair,0.55
